Education,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,age,nb_enf,situation_couple
Basic,24480.0,4,19,9,28,25,17,1.0,1.0,0.0,1.0,2.0,0,41,1,couple
PhD,65640.0,204,7,149,20,15,66,0.0,1.0,0.0,2.0,0.0,0,48,1,couple
Master,44319.0,26,0,8,0,0,3,0.0,0.0,0.0,1.0,1.0,0,47,2,couple
Graduation,30631.0,15,6,20,4,5,20,0.0,1.0,0.0,0.0,2.0,0,48,1,couple
Graduation,75278.0,304,98,230,150,74,74,0.0,1.0,1.0,3.0,1.0,0,70,0,couple
Master,50898.0,285,28,242,55,114,135,3.0,1.0,0.0,3.0,1.0,0,66,2,couple
Graduation,79946.0,395,183,565,166,141,28,0.0,1.0,3.0,1.0,1.0,0,56,0,celib
Master,35416.0,248,3,81,4,3,51,1.0,2.0,0.0,1.0,2.0,0,73,0,celib
2n Cycle,32414.0,20,6,5,0,9,12,0.0,0.0,0.0,1.0,2.0,0,38,0,couple
Graduation,38361.0,39,0,56,20,8,14,1.0,1.0,0.0,1.0,2.0,0,53,1,couple
Graduation,82497.0,777,129,573,216,21,203,0.0,0.0,1.0,2.0,1.0,0,42,0,couple
Graduation,16626.0,8,3,22,21,1,13,1.0,1.0,0.0,1.0,2.0,0,51,2,couple
Graduation,29672.0,9,1,3,0,4,8,0.0,0.0,0.0,1.0,1.0,0,57,2,couple
Master,55951.0,1241,0,80,0,13,40,1.0,1.0,1.0,2.0,2.0,0,70,1,couple
2n Cycle,35388.0,6,4,7,4,3,8,0.0,0.0,0.0,1.0,2.0,0,34,1,celib
Master,42386.0,65,4,16,0,4,11,0.0,1.0,0.0,1.0,2.0,0,36,1,couple
Graduation,68627.0,395,15,263,60,54,38,0.0,0.0,1.0,1.0,0.0,0,40,0,celib
PhD,57912.0,801,0,80,0,0,35,1.0,2.0,1.0,3.0,1.0,0,57,1,celib
Graduation,35246.0,36,0,12,2,2,10,1.0,1.0,0.0,1.0,1.0,0,64,2,celib
2n Cycle,58821.0,513,14,154,19,0,28,0.0,2.0,0.0,2.0,1.0,0,66,1,couple
PhD,46377.0,37,0,46,4,3,0,0.0,0.0,0.0,1.0,1.0,0,44,1,couple
Graduation,39747.0,80,15,93,20,13,52,1.0,1.0,0.0,1.0,2.0,0,34,1,celib
Graduation,23976.0,14,1,21,2,3,25,1.0,1.0,0.0,1.0,2.0,0,38,1,couple
Master,80950.0,525,147,112,219,147,63,0.0,1.0,2.0,2.0,0.0,0,61,0,couple
Graduation,27038.0,1,26,25,17,23,15,0.0,1.0,0.0,1.0,2.0,0,56,0,celib
Graduation,77457.0,675,11,400,15,45,11,0.0,0.0,1.0,2.0,0.0,0,75,0,celib
Master,64100.0,509,0,27,0,0,10,0.0,2.0,1.0,1.0,2.0,0,58,1,couple
Master,42670.0,154,2,46,20,4,15,0.0,1.0,0.0,1.0,1.0,0,30,0,couple
Graduation,12571.0,3,5,14,2,12,17,1.0,1.0,0.0,1.0,1.0,0,46,1,celib
Graduation,22574.0,25,0,8,2,0,2,0.0,0.0,0.0,1.0,2.0,0,55,3,couple
Graduation,51412.0,861,138,461,60,30,61,0.0,1.0,1.0,3.0,1.0,0,33,0,couple
Master,70893.0,768,44,561,77,44,14,0.0,1.0,1.0,2.0,1.0,0,46,0,celib
Graduation,54198.0,185,0,28,3,2,17,1.0,1.0,0.0,1.0,1.0,0,56,2,couple
Master,28839.0,24,0,7,0,0,1,0.0,0.0,0.0,1.0,1.0,0,66,2,couple
Graduation,40321.0,44,4,21,6,0,27,0.0,1.0,0.0,1.0,2.0,0,50,2,couple
Graduation,66503.0,91,64,128,65,3,50,0.0,1.0,1.0,1.0,1.0,0,37,1,celib
Graduation,30833.0,11,0,7,3,1,6,0.0,0.0,0.0,1.0,1.0,0,71,2,couple
Graduation,51412.0,738,20,172,52,50,20,1.0,0.0,1.0,2.0,2.0,0,52,3,celib
Graduation,64795.0,412,5,119,38,29,77,1.0,1.0,1.0,3.0,0.0,0,51,1,couple
Graduation,34421.0,3,3,7,6,2,9,0.0,0.0,0.0,0.0,2.0,0,48,1,couple
PhD,47025.0,16,0,3,0,0,1,0.0,0.0,0.0,0.0,2.0,0,57,2,celib
PhD,64325.0,731,60,353,78,12,73,1.0,2.0,1.0,1.0,2.0,0,61,1,celib
Graduation,40464.0,424,17,118,7,23,41,1.0,2.0,0.0,2.0,2.0,0,69,1,celib
Graduation,62187.0,792,0,275,45,45,126,0.0,1.0,2.0,1.0,1.0,0,65,0,couple
PhD,14849.0,21,2,28,3,2,9,1.0,0.0,0.0,1.0,2.0,0,46,1,celib
Graduation,27255.0,22,1,11,0,1,2,0.0,0.0,0.0,1.0,2.0,0,38,1,couple
PhD,54432.0,33,0,5,0,0,0,0.0,0.0,0.0,1.0,1.0,0,72,3,couple
PhD,29999.0,68,7,59,10,5,11,1.0,1.0,0.0,1.0,2.0,0,36,1,celib
Graduation,24072.0,9,1,6,3,0,4,0.0,0.0,0.0,0.0,2.0,0,39,1,celib
PhD,33996.0,40,2,15,8,0,6,0.0,0.0,0.0,1.0,1.0,0,33,0,celib
PhD,66334.0,909,11,218,0,0,23,0.0,2.0,1.0,1.0,1.0,0,66,1,couple
Master,35178.0,23,1,13,2,2,18,0.0,0.0,0.0,0.0,1.0,0,51,1,couple
Graduation,22010.0,11,2,9,3,0,8,0.0,0.0,0.0,1.0,2.0,0,39,1,couple
Graduation,62204.0,317,46,247,151,46,139,0.0,1.0,1.0,2.0,1.0,0,62,2,celib
Graduation,75693.0,797,153,293,72,97,30,0.0,2.0,1.0,1.0,1.0,0,54,0,celib
Graduation,30675.0,10,2,16,11,2,21,0.0,0.0,0.0,1.0,2.0,0,50,1,couple
Graduation,83003.0,856,61,570,40,25,122,0.0,2.0,1.0,2.0,1.0,0,57,0,couple
PhD,83532.0,755,144,562,104,64,224,0.0,1.0,1.0,1.0,0.0,0,52,0,couple
Graduation,68655.0,456,19,832,75,118,38,0.0,1.0,1.0,2.0,1.0,0,34,0,celib
Graduation,41411.0,37,32,38,11,3,18,0.0,0.0,0.0,1.0,1.0,0,36,0,celib
PhD,55212.0,1103,0,45,0,0,34,1.0,1.0,0.0,2.0,2.0,0,53,1,couple
PhD,59292.0,378,14,68,19,14,14,0.0,1.0,1.0,2.0,1.0,0,72,1,couple
Basic,27190.0,1,6,7,0,1,3,0.0,0.0,0.0,0.0,2.0,0,49,1,couple
Graduation,82623.0,204,34,204,172,153,173,0.0,0.0,2.0,1.0,0.0,0,70,0,celib
Graduation,44300.0,30,0,9,0,0,3,0.0,0.0,0.0,1.0,1.0,0,57,2,couple
Graduation,84835.0,189,104,379,111,189,218,0.0,1.0,1.0,2.0,0.0,0,52,0,celib
Graduation,30372.0,15,0,12,7,3,7,1.0,0.0,0.0,1.0,1.0,0,51,2,celib
Master,33181.0,9,0,3,0,0,4,0.0,0.0,0.0,0.0,1.0,0,46,1,couple
Graduation,71113.0,495,33,255,11,33,8,1.0,1.0,2.0,2.0,1.0,0,65,1,couple
Graduation,71952.0,656,80,455,52,107,93,0.0,2.0,1.0,2.0,1.0,0,36,1,couple
PhD,69759.0,452,20,514,13,30,0,1.0,1.0,1.0,1.0,1.0,0,56,0,celib
Graduation,72099.0,546,91,410,119,0,22,0.0,1.0,1.0,2.0,0.0,0,48,0,couple
PhD,60000.0,1048,0,217,0,0,12,1.0,2.0,1.0,1.0,1.0,0,46,1,celib
Graduation,38643.0,22,2,14,0,1,10,0.0,0.0,0.0,1.0,2.0,1,44,2,celib
Graduation,50737.0,78,0,11,0,0,10,0.0,0.0,0.0,1.0,1.0,0,67,1,couple
PhD,68462.0,561,64,785,84,128,48,0.0,1.0,1.0,2.0,0.0,0,53,0,couple
Master,65073.0,629,17,177,69,0,8,0.0,1.0,1.0,1.0,0.0,1,79,0,couple
PhD,46681.0,269,15,69,15,19,38,0.0,1.0,1.0,1.0,1.0,0,74,2,couple
Graduation,78618.0,736,163,818,212,163,61,0.0,1.0,1.0,2.0,0.0,0,65,0,couple
PhD,62187.0,512,0,83,0,0,41,1.0,1.0,0.0,2.0,1.0,0,53,1,celib
Graduation,28442.0,19,3,10,11,8,6,1.0,0.0,0.0,1.0,1.0,0,44,2,couple
Graduation,51479.0,247,8,160,6,8,65,1.0,1.0,1.0,1.0,1.0,0,55,2,couple
Graduation,54803.0,404,0,92,28,27,142,0.0,1.0,0.0,2.0,1.0,0,53,1,celib
Graduation,79530.0,333,0,815,129,42,29,0.0,1.0,2.0,2.0,0.0,0,62,0,couple
Graduation,31615.0,2,3,20,6,11,9,0.0,0.0,0.0,1.0,2.0,0,46,1,celib
Graduation,72025.0,833,33,549,151,133,233,0.0,1.0,1.0,2.0,1.0,0,60,0,couple
PhD,52614.0,789,0,142,12,9,38,0.0,0.0,1.0,2.0,2.0,0,47,1,celib
2n Cycle,35684.0,10,4,7,0,6,3,0.0,0.0,0.0,1.0,1.0,0,38,1,couple
Graduation,48178.0,159,4,45,6,2,38,1.0,1.0,0.0,1.0,2.0,0,47,2,couple
Master,29548.0,7,1,6,3,1,11,0.0,0.0,0.0,0.0,1.0,0,52,1,celib
Graduation,63810.0,977,12,253,16,12,101,1.0,1.0,1.0,3.0,2.0,0,56,1,celib
PhD,38578.0,38,4,22,3,3,3,1.0,1.0,0.0,1.0,2.0,0,50,2,celib
Master,46098.0,57,0,27,0,0,36,1.0,1.0,0.0,0.0,2.0,0,47,2,celib
Graduation,22585.0,3,9,15,13,2,39,0.0,0.0,0.0,0.0,2.0,0,52,0,celib
Graduation,30279.0,10,4,14,4,4,1,0.0,0.0,0.0,1.0,2.0,0,33,1,celib
PhD,66426.0,1043,24,97,32,24,157,0.0,1.0,1.0,2.0,1.0,0,61,1,couple
Graduation,30822.0,3,9,13,2,12,12,0.0,0.0,0.0,1.0,2.0,0,53,1,celib
PhD,33581.0,11,0,5,0,0,1,0.0,0.0,0.0,0.0,2.0,0,53,2,couple
Graduation,19986.0,3,6,5,0,2,6,0.0,0.0,0.0,1.0,2.0,0,37,1,couple
Graduation,27421.0,43,12,96,78,40,55,1.0,1.0,0.0,1.0,1.0,0,68,0,celib
Master,36143.0,12,0,1,0,0,6,0.0,0.0,0.0,0.0,1.0,0,41,1,celib
Graduation,10245.0,4,7,7,6,4,13,1.0,0.0,0.0,0.0,1.0,0,51,1,celib
Master,43795.0,314,11,53,4,3,107,1.0,2.0,1.0,1.0,2.0,0,54,1,couple
Graduation,63381.0,571,50,142,33,50,159,1.0,1.0,1.0,3.0,0.0,0,62,1,couple
Graduation,38823.0,70,0,11,2,8,23,0.0,0.0,0.0,1.0,1.0,0,73,1,couple
PhD,83664.0,866,21,151,28,21,86,1.0,0.0,0.0,3.0,1.0,0,54,2,celib
Graduation,90300.0,594,134,786,33,134,57,0.0,1.0,1.0,2.0,0.0,0,43,0,couple
Master,62499.0,140,4,61,0,13,4,0.0,1.0,0.0,1.0,1.0,0,43,1,couple
Graduation,74293.0,375,152,335,93,91,81,0.0,1.0,1.0,1.0,0.0,0,29,0,celib
PhD,51012.0,102,9,63,2,9,24,0.0,1.0,0.0,1.0,1.0,0,76,0,couple
Master,70777.0,554,35,113,0,7,78,1.0,1.0,1.0,3.0,1.0,0,54,1,couple
PhD,68682.0,919,0,505,99,30,45,0.0,1.0,2.0,2.0,0.0,0,31,0,couple
Graduation,43824.0,96,1,42,12,3,32,1.0,1.0,0.0,1.0,2.0,0,51,2,couple
Graduation,15345.0,5,2,16,3,2,19,0.0,0.0,0.0,0.0,2.0,0,38,1,couple
Graduation,23442.0,2,0,6,8,6,5,0.0,0.0,0.0,1.0,1.0,0,35,1,celib
2n Cycle,14515.0,6,4,9,6,36,35,1.0,0.0,0.0,1.0,1.0,0,42,1,couple
2n Cycle,31395.0,23,1,25,0,8,7,1.0,0.0,0.0,1.0,1.0,0,66,2,celib
Graduation,75276.0,610,105,125,137,42,21,0.0,2.0,1.0,2.0,1.0,0,57,0,couple
Graduation,42373.0,67,5,61,3,8,19,1.0,0.0,0.0,1.0,1.0,0,48,2,celib
Graduation,30507.0,65,36,74,38,20,110,0.0,1.0,0.0,1.0,2.0,0,62,0,couple
PhD,55521.0,416,0,26,0,0,4,2.0,1.0,1.0,1.0,2.0,0,67,3,celib
Graduation,48006.0,23,0,11,3,2,2,0.0,0.0,0.0,1.0,2.0,0,57,2,couple
PhD,27213.0,19,3,26,10,9,3,1.0,0.0,0.0,1.0,2.0,0,50,1,celib
PhD,65808.0,155,7,80,13,7,10,1.0,1.0,0.0,1.0,1.0,0,51,2,celib
Graduation,50437.0,370,9,92,6,9,4,1.0,1.0,0.0,2.0,1.0,0,59,2,couple
2n Cycle,23616.0,4,22,11,3,7,32,0.0,1.0,0.0,1.0,2.0,0,40,1,celib
Graduation,53858.0,407,53,221,58,150,26,1.0,1.0,1.0,1.0,1.0,0,46,1,couple
PhD,66465.0,1200,0,204,38,29,14,1.0,2.0,2.0,3.0,1.0,0,67,1,couple
Graduation,46923.0,85,44,54,102,78,6,1.0,1.0,0.0,1.0,1.0,0,35,1,celib
Graduation,75072.0,583,34,309,0,22,125,0.0,1.0,1.0,2.0,1.0,0,60,1,couple
PhD,75865.0,483,0,591,156,0,12,0.0,1.0,1.0,2.0,0.0,0,79,0,couple
2n Cycle,19789.0,2,5,9,28,6,28,1.0,0.0,0.0,1.0,1.0,0,47,1,couple
Graduation,80134.0,966,26,282,52,26,26,0.0,0.0,2.0,3.0,1.0,0,28,0,couple
Graduation,91065.0,822,114,108,179,137,114,0.0,2.0,2.0,2.0,1.0,0,41,0,celib
Master,49505.0,604,0,100,19,0,28,2.0,2.0,0.0,2.0,2.0,0,51,2,couple
PhD,37401.0,19,3,19,3,1,3,0.0,0.0,0.0,1.0,2.0,0,49,1,couple
Master,18492.0,2,2,2,2,1,1,0.0,0.0,0.0,0.0,2.0,0,40,1,couple
Master,82584.0,1076,68,103,29,91,68,0.0,1.0,1.0,2.0,0.0,0,48,0,couple
PhD,93027.0,1285,42,716,55,0,21,0.0,2.0,2.0,1.0,0.0,0,81,0,couple
Graduation,48686.0,10,0,7,2,0,1,0.0,0.0,0.0,0.0,2.0,0,69,3,couple
Graduation,92910.0,551,137,792,179,103,33,0.0,1.0,2.0,3.0,0.0,0,36,0,couple
Graduation,75433.0,800,0,297,0,34,57,0.0,0.0,1.0,2.0,1.0,0,33,1,couple
2n Cycle,10404.0,2,2,11,10,6,12,0.0,0.0,0.0,1.0,1.0,0,33,1,couple
Graduation,61314.0,378,0,189,97,172,172,0.0,1.0,1.0,3.0,1.0,0,54,1,couple
PhD,84865.0,1248,16,349,43,16,16,0.0,0.0,1.0,2.0,1.0,0,61,0,celib
Graduation,42387.0,235,0,235,19,4,191,1.0,2.0,0.0,1.0,2.0,0,33,1,couple
2n Cycle,67309.0,515,47,181,149,95,95,3.0,2.0,1.0,2.0,1.0,0,55,2,couple
Graduation,75236.0,438,66,400,12,38,114,0.0,2.0,1.0,3.0,1.0,0,58,1,couple
Graduation,30015.0,25,0,22,2,3,5,0.0,0.0,0.0,1.0,1.0,0,52,1,celib
Master,50943.0,31,0,7,2,0,6,0.0,0.0,0.0,1.0,1.0,0,66,1,couple
Graduation,67272.0,357,35,271,28,28,14,1.0,1.0,0.0,3.0,1.0,0,56,1,celib
Master,51529.0,400,4,35,6,0,22,0.0,2.0,0.0,1.0,2.0,0,73,1,celib
PhD,32011.0,99,0,15,2,1,5,1.0,0.0,0.0,1.0,2.0,0,51,1,couple
Graduation,28691.0,5,4,13,8,0,4,0.0,0.0,0.0,1.0,2.0,0,33,1,couple
PhD,56223.0,77,28,31,16,0,4,0.0,0.0,0.0,1.0,1.0,0,74,1,couple
Graduation,18100.0,3,1,2,4,3,1,0.0,0.0,0.0,1.0,1.0,0,76,0,couple
2n Cycle,20130.0,0,6,3,7,6,12,0.0,0.0,0.0,1.0,2.0,0,48,0,couple
Graduation,23295.0,0,0,1,2,12,5,0.0,0.0,0.0,0.0,2.0,0,63,0,celib
Master,42618.0,76,14,74,13,5,10,0.0,1.0,0.0,1.0,2.0,0,50,1,celib
Graduation,81246.0,398,190,537,61,156,37,0.0,1.0,1.0,2.0,0.0,0,58,0,celib
Graduation,24027.0,14,7,11,11,0,5,0.0,0.0,0.0,1.0,2.0,0,46,1,couple
PhD,55707.0,208,7,82,30,66,35,0.0,1.0,0.0,2.0,1.0,0,69,1,couple
Graduation,57959.0,430,16,322,43,24,33,1.0,1.0,2.0,2.0,1.0,0,67,1,celib
Graduation,56796.0,656,38,161,62,47,37,1.0,2.0,2.0,2.0,2.0,0,53,1,couple
Master,36230.0,14,2,30,8,2,3,0.0,0.0,0.0,1.0,1.0,0,51,1,celib
2n Cycle,70829.0,141,70,106,72,19,23,0.0,1.0,0.0,2.0,1.0,0,42,2,couple
Graduation,65991.0,507,19,364,25,47,9,1.0,2.0,1.0,2.0,1.0,0,46,1,couple
Graduation,38988.0,164,24,103,12,3,42,1.0,1.0,0.0,1.0,2.0,0,50,3,couple
2n Cycle,89572.0,606,24,974,197,194,64,0.0,1.0,1.0,2.0,1.0,0,56,0,celib
Master,42207.0,116,11,72,3,17,46,1.0,1.0,0.0,1.0,1.0,0,38,1,couple
Graduation,50300.0,143,15,60,24,23,5,0.0,0.0,0.0,2.0,0.0,0,70,1,couple
2n Cycle,66664.0,398,96,447,220,96,32,0.0,1.0,1.0,1.0,1.0,0,40,0,couple
Graduation,60597.0,522,0,257,32,16,66,1.0,0.0,0.0,2.0,2.0,0,58,1,couple
Graduation,70165.0,161,0,253,199,191,122,0.0,1.0,2.0,3.0,0.0,0,73,0,celib
PhD,50520.0,112,0,6,2,1,14,0.0,1.0,0.0,1.0,1.0,0,64,1,celib
Graduation,33183.0,7,5,39,17,15,37,0.0,1.0,0.0,1.0,2.0,0,47,1,couple
PhD,66582.0,789,25,420,16,38,0,0.0,0.0,2.0,2.0,0.0,0,53,0,celib
PhD,75261.0,1239,17,413,23,34,17,0.0,1.0,1.0,1.0,0.0,0,67,0,couple
Graduation,31880.0,4,1,5,2,0,3,0.0,0.0,0.0,0.0,2.0,0,52,1,celib
Graduation,53790.0,335,42,127,28,5,5,1.0,2.0,0.0,2.0,1.0,0,71,2,couple
PhD,49269.0,639,8,166,11,8,58,1.0,1.0,1.0,2.0,1.0,0,51,1,couple
Graduation,61456.0,563,76,384,84,192,89,1.0,1.0,2.0,3.0,1.0,0,47,1,couple
Graduation,37406.0,2,0,8,2,2,3,0.0,0.0,0.0,0.0,2.0,0,42,1,couple
PhD,56937.0,746,8,125,11,8,8,1.0,2.0,1.0,2.0,1.0,0,41,1,couple
Graduation,38415.0,22,1,13,4,0,4,0.0,0.0,0.0,1.0,1.0,0,44,2,couple
Graduation,20518.0,4,1,6,4,1,9,0.0,0.0,0.0,0.0,1.0,0,34,1,celib
Graduation,62503.0,478,0,193,110,75,117,1.0,2.0,1.0,2.0,1.0,0,66,1,couple
PhD,41644.0,20,3,4,2,0,2,0.0,0.0,0.0,1.0,1.0,0,50,2,celib
Master,55842.0,451,0,39,0,4,24,0.0,2.0,0.0,2.0,1.0,0,45,1,couple
PhD,62010.0,371,22,39,6,0,92,1.0,1.0,0.0,1.0,1.0,0,50,1,couple
Graduation,41124.0,281,7,84,15,0,119,1.0,1.0,1.0,1.0,2.0,0,45,1,couple
Master,38961.0,19,7,19,0,1,24,0.0,0.0,0.0,0.0,2.0,0,49,1,couple
Master,37760.0,26,3,13,2,10,0,0.0,0.0,0.0,1.0,1.0,0,50,1,celib
Graduation,32233.0,138,15,35,25,11,72,0.0,1.0,0.0,0.0,2.0,0,48,1,celib
Graduation,43057.0,213,2,44,0,2,5,1.0,1.0,0.0,1.0,1.0,0,47,1,couple
Master,83151.0,407,28,100,120,74,18,0.0,1.0,2.0,1.0,1.0,0,62,0,couple
PhD,78825.0,483,74,114,169,37,18,0.0,1.0,2.0,3.0,1.0,0,58,0,celib
Graduation,60093.0,502,12,109,16,6,90,0.0,2.0,0.0,2.0,1.0,0,48,1,couple
Graduation,14045.0,11,0,5,2,1,1,0.0,0.0,0.0,1.0,2.0,0,53,1,couple
2n Cycle,28457.0,24,1,108,29,29,14,0.0,1.0,0.0,1.0,2.0,0,70,0,celib
PhD,78952.0,1170,19,594,99,76,134,0.0,0.0,1.0,2.0,1.0,0,64,1,couple
Graduation,46310.0,185,2,88,15,5,14,0.0,1.0,0.0,1.0,2.0,0,46,1,celib
Graduation,76005.0,983,20,389,240,50,40,0.0,1.0,1.0,3.0,1.0,0,67,0,couple
Master,58308.0,691,0,69,10,0,130,1.0,0.0,1.0,1.0,2.0,0,58,1,celib
PhD,55614.0,504,13,131,8,0,26,0.0,2.0,1.0,1.0,2.0,0,78,0,celib
Master,59432.0,317,25,265,25,19,12,1.0,1.0,1.0,2.0,1.0,0,60,1,celib
Graduation,55563.0,29,1,9,2,0,2,0.0,0.0,0.0,1.0,1.0,0,44,1,celib
PhD,78642.0,1396,0,322,46,35,17,0.0,1.0,2.0,1.0,1.0,0,51,1,couple
PhD,67911.0,529,0,356,63,28,0,1.0,1.0,2.0,3.0,1.0,0,73,1,couple
Graduation,65275.0,388,14,218,91,14,21,0.0,1.0,1.0,3.0,0.0,0,78,0,couple
Graduation,27203.0,13,2,21,4,0,24,0.0,0.0,0.0,0.0,2.0,0,72,2,couple
Master,48330.0,28,0,4,0,0,0,0.0,0.0,0.0,1.0,1.0,0,61,1,couple
Basic,24279.0,16,36,21,20,62,108,0.0,1.0,0.0,1.0,2.0,0,32,0,couple
PhD,64355.0,1047,0,140,67,38,153,0.0,1.0,1.0,2.0,2.0,0,37,1,couple
Graduation,53653.0,815,10,239,28,10,108,0.0,2.0,1.0,3.0,1.0,0,69,0,celib
Graduation,65665.0,225,162,387,106,36,29,0.0,1.0,2.0,2.0,1.0,0,46,1,couple
Graduation,81217.0,493,70,324,146,40,84,0.0,1.0,2.0,2.0,0.0,0,33,0,celib
Graduation,34935.0,34,4,66,3,10,20,0.0,0.0,0.0,1.0,2.0,0,30,0,couple
Graduation,61250.0,382,138,65,60,26,59,1.0,1.0,0.0,3.0,1.0,0,63,1,celib
PhD,39665.0,127,1,56,0,1,31,1.0,1.0,0.0,1.0,2.0,0,41,1,couple
Graduation,60152.0,325,83,300,86,58,91,0.0,1.0,1.0,3.0,1.0,0,43,1,celib
Graduation,48920.0,238,17,68,8,10,6,1.0,1.0,0.0,1.0,2.0,0,58,2,couple
Master,89120.0,1168,92,408,72,129,55,0.0,1.0,1.0,2.0,0.0,0,63,0,couple
PhD,44124.0,284,0,55,0,6,52,1.0,1.0,0.0,1.0,2.0,0,76,1,couple
Master,81169.0,1288,20,613,80,61,27,0.0,1.0,2.0,2.0,0.0,0,47,0,celib
Graduation,36443.0,65,0,46,4,3,20,1.0,1.0,0.0,1.0,2.0,0,61,2,couple
Graduation,26095.0,11,7,9,3,1,11,0.0,0.0,0.0,1.0,2.0,0,32,1,celib
Graduation,71367.0,227,23,389,42,21,75,0.0,1.0,1.0,2.0,0.0,0,63,0,couple
Master,80184.0,1035,134,670,25,38,0,0.0,1.0,1.0,2.0,1.0,0,78,0,couple
Graduation,30630.0,27,1,12,2,0,10,0.0,0.0,0.0,1.0,2.0,0,57,2,celib
Master,73454.0,982,73,351,56,14,175,0.0,0.0,1.0,1.0,1.0,0,35,0,celib
Graduation,42691.0,179,2,64,38,17,58,0.0,1.0,0.0,1.0,1.0,0,31,0,couple
Graduation,70503.0,1379,33,216,0,33,66,0.0,0.0,1.0,2.0,1.0,0,69,0,couple
Graduation,25545.0,32,1,64,16,12,85,1.0,0.0,0.0,1.0,1.0,0,35,1,couple
Graduation,32880.0,8,4,15,7,6,2,0.0,0.0,0.0,1.0,2.0,0,36,1,couple
PhD,77863.0,881,38,319,16,25,12,0.0,1.0,1.0,2.0,0.0,0,64,0,couple
Master,50353.0,141,15,153,67,31,35,0.0,1.0,1.0,2.0,1.0,0,45,0,couple
Graduation,61839.0,1000,155,379,224,17,120,0.0,1.0,2.0,1.0,2.0,0,58,0,celib
PhD,49154.0,206,10,67,30,27,71,1.0,1.0,0.0,2.0,1.0,0,62,2,couple
2n Cycle,47682.0,162,61,83,97,57,61,1.0,1.0,1.0,2.0,1.0,0,47,1,celib
Graduation,72679.0,619,54,260,127,54,54,0.0,1.0,2.0,1.0,0.0,0,53,1,celib
Master,57954.0,456,4,24,0,0,9,2.0,2.0,0.0,2.0,2.0,0,45,2,couple
Graduation,65316.0,112,6,92,3,9,38,0.0,1.0,0.0,1.0,1.0,0,60,2,couple
Graduation,28567.0,11,3,22,2,2,6,0.0,0.0,0.0,1.0,1.0,0,40,1,celib
Master,47352.0,172,12,112,8,0,15,1.0,1.0,0.0,1.0,2.0,0,71,1,couple
Graduation,44931.0,78,0,11,0,0,7,0.0,0.0,0.0,1.0,1.0,0,55,1,couple
Graduation,76982.0,464,151,292,65,60,30,0.0,2.0,1.0,1.0,1.0,0,55,0,celib
2n Cycle,57247.0,99,4,32,37,54,6,0.0,0.0,0.0,2.0,0.0,0,70,1,couple
Master,22944.0,19,3,19,4,5,26,1.0,1.0,0.0,1.0,2.0,0,41,1,celib
2n Cycle,25315.0,1,9,8,11,3,22,1.0,1.0,0.0,1.0,2.0,0,45,1,couple
Graduation,43638.0,63,10,83,7,19,19,0.0,1.0,0.0,1.0,1.0,0,53,1,celib
PhD,42710.0,252,3,42,4,3,102,0.0,1.0,1.0,1.0,1.0,0,38,1,celib
PhD,84169.0,1478,19,403,0,19,0,0.0,2.0,1.0,1.0,1.0,0,40,0,couple
Graduation,54058.0,198,18,252,32,108,54,0.0,1.0,1.0,2.0,1.0,0,46,1,couple
2n Cycle,24683.0,8,4,10,6,7,6,0.0,0.0,0.0,1.0,1.0,0,32,1,couple
Graduation,85620.0,416,46,925,60,107,46,0.0,1.0,1.0,1.0,0.0,0,58,0,celib
Graduation,47850.0,42,7,43,20,12,10,0.0,1.0,0.0,1.0,1.0,0,42,1,couple
Graduation,19514.0,14,3,21,2,1,28,1.0,1.0,0.0,0.0,2.0,0,54,2,couple
Master,27159.0,17,0,3,0,0,1,0.0,0.0,0.0,1.0,1.0,0,49,2,couple
2n Cycle,39548.0,15,4,10,3,4,18,0.0,0.0,0.0,1.0,1.0,0,59,2,celib
Graduation,21474.0,6,16,24,11,0,34,0.0,1.0,0.0,0.0,2.0,0,33,1,celib
PhD,60504.0,458,0,24,6,4,34,0.0,1.0,0.0,2.0,1.0,0,51,1,celib
Graduation,22419.0,30,3,47,19,21,42,0.0,1.0,0.0,0.0,2.0,0,59,0,couple
Master,81698.0,179,28,520,111,123,47,0.0,1.0,2.0,3.0,0.0,0,73,0,couple
Graduation,43462.0,90,17,97,15,6,15,1.0,1.0,0.0,1.0,2.0,0,70,2,couple
PhD,54880.0,308,85,137,102,45,118,0.0,1.0,0.0,2.0,1.0,0,44,1,celib
Graduation,79908.0,557,129,761,29,185,111,0.0,1.0,1.0,2.0,0.0,0,40,0,couple
2n Cycle,15315.0,7,4,13,15,8,17,0.0,0.0,0.0,1.0,1.0,0,52,0,couple
Graduation,87771.0,1492,38,287,50,57,33,0.0,1.0,2.0,1.0,1.0,0,63,1,couple
Graduation,33039.0,30,8,12,8,8,12,0.0,0.0,0.0,1.0,1.0,0,44,1,couple
Graduation,81741.0,249,153,940,58,134,38,0.0,1.0,1.0,2.0,0.0,0,42,0,celib
Master,71499.0,465,25,132,136,0,37,0.0,2.0,1.0,3.0,1.0,0,51,1,couple
2n Cycle,62466.0,129,129,259,168,121,83,1.0,1.0,1.0,3.0,1.0,0,52,1,couple
